id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
113560,aa9b4db6-6eb3-4cd1-a5f3-6577c2738b43,2012-08-12,2012-08-12,,Hawaii,3403,davidr,David R,2012-08-17 09:53:46 UTC,2025-05-14 02:26:34 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/113560,https://inaturalist-open-data.s3.amazonaws.com/photos/162309/medium.jpg,,"","",2,0,false,,"Rocky Mountain National Park, CO",40.2851278,-105.6881788,25000,,,,25000,,,false,,,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977
143118,7ad06cec-8f03-48ee-99bd-9f3595230159,2006-06-04,2006-06-04,,Central Time (US & Canada),9531,kucycads,Kenneth Bader,2012-11-03 05:49:00 UTC,2025-05-14 02:26:30 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/143118,https://inaturalist-open-data.s3.amazonaws.com/photos/198016/medium.JPG,,"","",3,0,false,,"Dream Lake, Rocky Mountain National Park",40.3093187,-105.6591235,239,,,,239,,,false,,,Black-spotted Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977
165517,fa81fcc0-a73d-4cb7-96f6-553b8ea569f8,2011-10-22,2011-10-22,,Pacific Time (US & Canada),8755,belinda,Belinda Lo,2012-12-22 00:41:02 UTC,2025-05-14 02:26:26 UTC,research,CC-BY,http://www.inaturalist.org/observations/165517,https://inaturalist-open-data.s3.amazonaws.com/photos/221756/medium.jpg,,"","",5,0,false,,"The Loch, Rocky Mountain National Park, CO",40.293374,-105.655857,200,,,,200,,open,false,,,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977
581234,2a7258be-83aa-4a37-b32e-2ee07c62b556,2012-08-01,2012-08-01,,Hawaii,32993,c_h_hemphill,CH Hemphill,2014-03-24 20:18:25 UTC,2017-06-11 22:18:03 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/581234,https://inaturalist-open-data.s3.amazonaws.com/photos/739547/medium.JPG,,"","",1,0,false,,"Rio Grande National Forest, Colorado",37.87887,-106.62913,128171,,,,128171,,,false,,,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516
806285,90d857de-a339-4c6b-bc24-52c421c9d16d,2014-07-26,2014-07-26,,Eastern Time (US & Canada),43336,mikeyann118,Michael Yannick,2014-07-28 23:13:18 UTC,2025-05-14 02:26:21 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/806285,https://inaturalist-open-data.s3.amazonaws.com/photos/1016217/medium.JPG,,"",Fern Lake Cutthroat.  Unfortunately only got to fish the lake less than 30 minutes before a lightning and hail storm set in.  Lost a few nice fish and caught a  few small fish.,5,0,false,,Fern Lake,40.336217,-105.676813,250,,,,250,,open,false,,,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977
806303,785734de-5dd7-4724-90fb-b13da87202f2,2014-07-26,2014-07-26,,Eastern Time (US & Canada),43336,mikeyann118,Michael Yannick,2014-07-28 23:19:57 UTC,2025-05-28 20:05:20 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/806303,https://inaturalist-open-data.s3.amazonaws.com/photos/1016254/medium.JPG,,"",Fished above the pool on the Big Thompson just below Fern Creek.  Nice Greenback Cutthroat.,5,0,false,,Big Thompson River,40.350192,-105.661397,101,,,,101,,open,false,,,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977
825973,ee85cefb-7fc8-4423-b4c0-5f25ce584bd1,2014-08-05,2014-08-05,,Mountain Time (US & Canada),47674,aspinwalldp,"",2014-08-11 03:25:44 UTC,2020-09-26 21:34:24 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/825973,https://inaturalist-open-data.s3.amazonaws.com/photos/1042383/medium.JPG,,"","",2,0,false,,Lake Fork Conejos River,37.313315,-106.493697,,,,,,,open,false,,,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518
825999,53a8c22c-6e1c-4da0-a46b-7ad85ea787bb,2014-08-05,2014-08-05,,Mountain Time (US & Canada),47674,aspinwalldp,"",2014-08-11 03:30:46 UTC,2025-05-02 15:30:52 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/825999,https://inaturalist-open-data.s3.amazonaws.com/photos/1042410/medium.JPG,,"","",3,0,false,,Lake Fork Conejos River,37.319083,-106.507087,105,,,,105,,open,false,,,Rio Grande Cutthroat Trout,Oncorhynchus virginalis virginalis,Rio Grande Cutthroat Trout,Actinopterygii,1520378
846301,f1002e12-a453-42d2-a23e-423172591dee,2014-08-20,2014-08-20,,Central Time (US & Canada),9531,kucycads,Kenneth Bader,2014-08-24 22:27:34 UTC,2025-05-02 15:30:53 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/846301,https://inaturalist-open-data.s3.amazonaws.com/photos/1071642/medium.JPG,,"","",2,0,false,,"Colorado, US",37.2921205861,-106.4419092395,148,,,,28417,obscured,open,true,,,Rio Grande Cutthroat Trout,Oncorhynchus virginalis virginalis,Rio Grande Cutthroat Trout,Actinopterygii,1520378
848679,dfadcba7-c3b7-4ccc-a046-cc01cb7cdb1c,2009-08-20,2009-08-20,,Mountain Time (US & Canada),50026,flyfisherking,,2014-08-26 03:58:37 UTC,2020-09-26 21:34:05 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/848679,https://inaturalist-open-data.s3.amazonaws.com/photos/1097368/medium.jpg,,"","",2,0,false,,"South Platte River, CO",38.967801,-105.581574,103,,,,103,,open,false,,,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518
