id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
346828,7e35ca94-09a4-4972-8c10-8bbf246d0715,2013-07-02 10:50:36,2013-07-02,2013-07-02 17:50:36 UTC,Pacific Time (US & Canada),642,biosam,Sam McNally,2013-07-26 23:47:00 UTC,2023-08-25 16:01:07 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/346828,https://inaturalist-open-data.s3.amazonaws.com/photos/432008/medium.JPG,,"","",4,0,false,,Arc Dome Wilderness,38.799852,-117.398872,5807,,,,5807,,open,false,,manual,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518
390822,7a3f80d5-9602-4ab7-bd7f-1ca895428aad,2013-09-04 20:25:35,2013-09-04,2013-09-05 03:25:35 UTC,Pacific Time (US & Canada),642,biosam,Sam McNally,2013-09-07 21:54:55 UTC,2025-01-09 09:45:36 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/390822,https://inaturalist-open-data.s3.amazonaws.com/photos/488883/medium.JPG,,"","A fry approx 1.5 in. long. To my knowledge this area includes rainbow trout and bull trout, and although this fry has no spots on the dorsal fin (a rainbow trait), I'm not sure if that difference is apparent in fry.",1,0,false,,"Jarbidge Wilderness, NV",41.82644,-115.419994,3147,,,,3147,,open,false,,manual,Salmons and Trouts,Salmoninae,Salmons and Trouts,Actinopterygii,342904
390824,22d406b1-6e56-4e77-a246-c7a6ad37f97a,2013-09-04 20:43:53,2013-09-04,2013-09-05 03:43:53 UTC,Pacific Time (US & Canada),642,biosam,Sam McNally,2013-09-07 21:54:59 UTC,2025-02-20 09:16:47 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/390824,https://inaturalist-open-data.s3.amazonaws.com/photos/488885/medium.JPG,,"",a small fry approx 3 in. long.,2,0,false,,"Jarbidge Wilderness, NV",41.82644,-115.419994,3147,,,,3147,,open,false,,manual,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543
582566,3044d17d-8cd4-4e33-beba-62f95440b84f,"",,,Mountain Time (US & Canada),33156,ddauwalter,"",2014-03-25 17:37:27 UTC,2024-09-14 22:22:33 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/582566,https://inaturalist-open-data.s3.amazonaws.com/photos/740972/medium.JPG,,redband trout,"Redband trout in Bull Camp Creek, Salmon Fall Creek watershed, NV.",2,0,false,,"Bull Camp Creek, Nevada",41.493538,-114.970571,15,,,,15,,,false,,,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543
582571,46ad7c50-f11a-473c-9218-148db9716d43,2013-07-24,2013-07-24,,Mountain Time (US & Canada),33156,ddauwalter,"",2014-03-25 17:42:19 UTC,2024-02-06 05:43:21 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/582571,https://inaturalist-open-data.s3.amazonaws.com/photos/740982/medium.JPG,,redband trout,"Redband trout from South Fork Salmon Falls Creek, NV.",1,0,false,,South Fork Salmon Falls Creek,41.781268,-115.004333,15,,,,15,,,false,,,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543
582575,2240af65-44e1-474f-89fb-cb66ef3b03ca,2013-06-18,2013-06-18,,Mountain Time (US & Canada),33156,ddauwalter,"",2014-03-25 17:46:43 UTC,2024-02-06 05:43:06 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/582575,https://inaturalist-open-data.s3.amazonaws.com/photos/740986/medium.JPG,,redband trout,"Redband trout, McCann Creek, South Fork Owyhee River",2,0,false,,"Elko County, US-NV, US",41.307714,-116.293353,15,,,,15,,,false,,,Columbia River Redband Trout,Oncorhynchus mykiss gairdneri,Columbia River Redband Trout,Actinopterygii,237543
584617,f9fceb48-6f52-4255-a120-25b310b29a0e,2013-06-06,2013-06-06,,Pacific Time (US & Canada),33602,j_zablocki,John Zablocki,2014-03-27 04:15:30 UTC,2024-09-21 05:39:17 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/584617,https://inaturalist-open-data.s3.amazonaws.com/photos/743135/medium.JPG,,"aquarium, Humboldt, Lahontan Cutthroat, native trout","A native Humboldt strain Lahontan Cutthroat Trout in Little Jack Creek, a tributary to Maggie Creek near the town of Carlin, Nevada.  Specimen was collected via alive via-electro fishing, photographed in aquarium, and released back into stream.

",5,0,false,,"Little Jack Creek, Maggie Creek drainage, Carlin, Nevada",41.002239,-116.271786,,,,,,,open,false,,,Lahontan Cutthroat Trout,Oncorhynchus henshawi,Lahontan Cutthroat Trout,Actinopterygii,1316404
584620,dbafa60c-2577-448b-a507-2de6c5f8f792,2013-06-03,2013-06-03,,Pacific Time (US & Canada),33602,j_zablocki,John Zablocki,2014-03-27 04:23:18 UTC,2025-05-19 18:25:30 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/584620,https://inaturalist-open-data.s3.amazonaws.com/photos/743137/medium.JPG,,"aquarium, Humboldt, Lahontan Cutthroat, native, LCT","Native Humboldt strain Lahontan Cutthroat Trout captured via electro-fishing, photographed in aquarium and released.",5,0,false,,"Beaver Creek, Maggie Creek Drainage, Carlin, Nevada",41.073939,-116.169733,,,,,,,open,false,,,Lahontan Cutthroat Trout,Oncorhynchus henshawi,Lahontan Cutthroat Trout,Actinopterygii,1316404
602845,669066fd-5365-4341-a69f-62a0f9f2cf92,2013-06-17,2013-06-17,,Pacific Time (US & Canada),33602,j_zablocki,John Zablocki,2014-03-31 23:22:58 UTC,2024-09-21 05:31:57 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/602845,https://inaturalist-open-data.s3.amazonaws.com/photos/759250/medium.jpg,,"aquarium, LCT, Lahontan, Humboldt trout, native, Nevada","Humboldt-strain LCT from N. Fork, Battle Creek in Humboldt County, NV (near town of Denio).

Specimen #1",4,0,false,,"Humboldt County, US-NV, US",41.443764,-118.938269,,,,,,,open,false,,,Lahontan Cutthroat Trout,Oncorhynchus henshawi,Lahontan Cutthroat Trout,Actinopterygii,1316404
602847,4426471a-8d10-4473-9172-fd78727179f5,2013-06-17,2013-06-17,,Pacific Time (US & Canada),33602,j_zablocki,John Zablocki,2014-03-31 23:28:26 UTC,2024-09-21 05:32:24 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/602847,https://inaturalist-open-data.s3.amazonaws.com/photos/759254/medium.JPG,,"aquarium, LCT, Lahontan, native trout, cutthroat, nevada","Humboldt strain Lahontan Cutthroat Trout from N. Fork Battle Creek, near Denio, NV, in Humboldt County.  This is a second specimen sampled at the same location as the previous one.

",4,0,false,,"Humboldt County, US-NV, US",41.443442,-118.938097,,,,,,,open,false,,,Lahontan Cutthroat Trout,Oncorhynchus henshawi,Lahontan Cutthroat Trout,Actinopterygii,1316404
